player,team,Goals,NP_Goals,xG,NPxG,Assists,xA,mins,shots,chances_created,xThreat,xG90,NPxG90,xG_per_shot,xA90,xT90,xGI90,np_resid,shots90,nineties,rank_xGI90,rank_NPxG90,rank_xA90,rank_xT90,rank_shots90,rank_xG_per_shot,pct_xGI90,qualified
J. Bal,ADO Den Haag,8,8,7.77525455504656,7.77525455504656,5,3.33158402331174,1332,41,25,-0.011,0.525355037503146,0.525355037503146,0.189640355001136,0.225107028602145,-0.000743243243243243,0.750462066105291,0.22474544495343984,2.77027027027027,14.8,3.0,7.0,31.0,341.0,35.0,20.0,99.4,True
E. Rottier,ADO Den Haag,9,9,9.08695166185498,9.08695166185498,7,6.78153514862061,2685,53,58,0.82,0.304590558497932,0.304590558497932,0.171451918148207,0.227314027328065,0.0274860335195531,0.531904585825997,-0.0869516618549806,1.776536312849162,29.833333333333332,33.0,45.0,27.0,299.0,99.0,38.0,91.0,True
L. Reischl,ADO Den Haag,10,10,10.0288538821042,10.0288538821042,1,1.35104042850435,2082,82,16,-0.429,0.433523943030439,0.433523943030439,0.122303096123222,0.0584023239987472,-0.0185446685878963,0.4919262670291862,-0.028853882104199258,3.5446685878962536,23.133333333333333,47.0,15.0,234.0,354.0,7.0,99.0,87.0,True
N. Thomas,ADO Den Haag,4,4,3.13284760341048,3.13284760341048,5,2.0975286886096,1037,34,11,0.879,0.271896127586252,0.271896127586252,0.0921425765708964,0.182042026976725,0.0762873674059788,0.453938154562977,0.8671523965895198,2.9508196721311477,11.522222222222222,53.0,58.0,64.0,127.0,27.0,185.0,85.3,True
C. Peupion,ADO Den Haag,7,7,7.89557706192136,7.89557706192136,2,2.65654164180159,2214,93,26,2.25,0.320958417151275,0.320958417151275,0.0848986780851759,0.107989497634211,0.0914634146341464,0.428947914785486,-0.8955770619213599,3.7804878048780486,24.6,64.0,37.0,158.0,95.0,4.0,212.0,82.2,True
J. Vlak,ADO Den Haag,11,9,9.86174620956183,7.49174620956184,6,5.04155503772198,3034,74,53,4.792,0.292536967323851,0.222233737264524,0.133266840669754,0.149551731507903,0.142148978246539,0.371785468772427,1.50825379043816,2.1951219512195124,33.71111111111111,92.0,85.0,105.0,25.0,71.0,79.0,74.3,True
D. van Mieghem,ADO Den Haag,7,7,3.22379296362399,2.43379296362399,8,5.0186910405755,1809,47,42,3.998,0.160387709633034,0.12108422704597,0.0685913396515743,0.249686121421667,0.198905472636816,0.370770348467637,4.56620703637601,2.3383084577114426,20.1,94.0,153.0,19.0,7.0,66.0,268.0,73.7,True
I. de Ruijter,ADO Den Haag,2,2,2.92583930492401,2.92583930492401,1,2.65749923884869,1397,25,32,2.251,0.188493584426028,0.188493584426028,0.117033572196961,0.171206107012442,0.145017895490336,0.35969969143847,-0.9258393049240099,1.6105941302791698,15.522222222222222,100.0,100.0,82.0,21.0,116.0,118.0,72.0,True
M. Hokke,ADO Den Haag,1,1,2.89971060492098,2.89971060492098,4,4.69704174995422,2093,33,24,4.06,0.124688941444285,0.124688941444285,0.0878700183309389,0.201975039415136,0.174581939799331,0.326663980859421,-1.8997106049209802,1.4190157668418537,23.255555555555556,121.0,149.0,51.0,9.0,132.0,199.0,66.1,True
J. Kilo,ADO Den Haag,4,4,4.31723336130381,4.31723336130381,9,7.61204865388572,3298,41,68,4.134,0.117814130538915,0.117814130538915,0.105298374665947,0.207727222210344,0.112813826561552,0.325541352749259,-0.31723336130380986,1.1188599151000607,36.644444444444446,123.0,157.0,42.0,53.0,169.0,149.0,65.5,True
M. Jiménez,ADO Den Haag,1,1,1.4489197358489,1.4489197358489,3,2.64325389824807,1152,25,34,1.284,0.113196854363195,0.113196854363195,0.0579567894339559,0.206504210800631,0.1003125,0.319701065163826,-0.4489197358489001,1.953125,12.8,125.0,164.0,45.0,80.0,88.0,299.0,65.0,True
S. van der Sloot,ADO Den Haag,8,8,6.02439359202981,6.02439359202981,2,4.26965511031448,3264,34,38,5.745,0.166113793897881,0.166113793897881,0.177188046824406,0.117729460762348,0.158409926470588,0.28384325466022897,1.97560640797019,0.9375,36.266666666666666,142.0,118.0,142.0,15.0,192.0,31.0,60.2,True
D. Tomas,ADO Den Haag,5,5,3.58301724120975,3.58301724120975,2,0.958311229944229,1456,23,8,1.449,0.221477714085768,0.221477714085768,0.155783358313467,0.0592362710817175,0.0895673076923077,0.28071398516748547,1.4169827587902502,1.4217032967032968,16.177777777777777,146.0,86.0,232.0,100.0,131.0,54.0,59.0,True
