Rank,Team,P,W,D,L,GF,GA,GD,Pts,xGF,xGA,xGD,xPts,xRank,season,file,res,elig_rank
1,Cambuur Leeuwarden,38,29,5,4,109,36,73,92,83.0,42.0,41.0,77.5,1,2020-21,KKD2021.xlsx,False,1.0
2,Go Ahead Eagles,38,23,8,7,62,25,37,77,53.2,37.4,15.7,63.4,4,2020-21,KKD2021.xlsx,False,2.0
3,De Graafschap,38,23,8,7,67,47,20,77,62.6,38.1,24.5,70.0,2,2020-21,KKD2021.xlsx,False,3.0
4,Almere City FC,38,22,9,7,75,48,27,75,64.0,48.6,15.3,62.0,5,2020-21,KKD2021.xlsx,False,4.0
5,NAC Breda,38,22,7,9,75,41,34,73,63.0,50.8,12.2,61.0,6,2020-21,KKD2021.xlsx,False,5.0
6,FC Volendam,38,19,9,10,79,52,27,66,77.2,54.9,22.3,65.2,3,2020-21,KKD2021.xlsx,False,6.0
7,Nijmegen Eendracht Combinatie,38,20,6,12,68,45,23,66,62.5,48.1,14.4,59.9,7,2020-21,KKD2021.xlsx,False,7.0
8,Roda JC,38,15,12,11,67,61,6,57,58.8,46.1,12.6,59.3,8,2020-21,KKD2021.xlsx,False,8.0
9,Excelsior,38,14,6,18,65,66,-1,48,65.6,63.4,2.2,55.6,9,2020-21,KKD2021.xlsx,False,9.0
10,TOP Oss,38,13,8,17,40,57,-17,47,51.5,57.5,-6.0,48.1,12,2020-21,KKD2021.xlsx,False,10.0
11,MVV,38,13,7,18,50,72,-22,46,46.4,58.0,-11.7,44.1,15,2020-21,KKD2021.xlsx,False,11.0
12,Helmond Sport,38,11,12,15,51,68,-17,45,47.9,66.9,-19.0,43.5,16,2020-21,KKD2021.xlsx,False,12.0
13,Telstar,38,10,11,17,57,61,-4,41,48.3,52.7,-4.5,48.6,11,2020-21,KKD2021.xlsx,False,13.0
14,PSV II,38,10,10,18,54,65,-11,40,41.6,58.5,-16.9,42.3,17,2020-21,KKD2021.xlsx,True,
15,FC Eindhoven,38,10,10,18,50,62,-12,40,49.1,57.9,-8.9,45.5,14,2020-21,KKD2021.xlsx,False,14.0
16,Ajax II,38,10,10,18,55,71,-16,40,58.1,65.8,-7.6,49.8,10,2020-21,KKD2021.xlsx,True,
17,AZ II,38,11,5,22,56,92,-36,38,52.5,66.9,-14.4,42.2,18,2020-21,KKD2021.xlsx,True,
18,FC Utrecht II,38,11,2,25,53,77,-24,35,58.0,67.6,-9.6,46.7,13,2020-21,KKD2021.xlsx,True,
19,FC Den Bosch,38,8,8,22,59,85,-26,32,47.4,73.1,-25.7,37.3,19,2020-21,KKD2021.xlsx,False,15.0
