HomeName,n,act,oddsXP,xgXP,act/m,oddsXP/m,xgXP/m,dOdds/m,dxG/m,Pts,xPts,xGD,Rank
ADO Den Haag,27,62,57.914431563821424,57.9824,2.2962962962962963,2.144978946808201,2.1474962962962962,0.1513173494880955,0.14880000000000004,89,79.8,46.5,1
AZ II,27,29,35.547608305118175,32.4862,1.0740740740740742,1.3165780853747473,1.2031925925925924,-0.24250401130067312,-0.1291185185185182,40,46.2,-11.2,17
Ajax II,27,20,27.776273769896733,22.8471,0.7407407407407407,1.0287508803665457,0.8461888888888889,-0.288010139625805,-0.10544814814814818,35,35.6,-30.2,20
Almere City FC,27,39,44.95933340988081,41.559200000000004,1.4444444444444444,1.6651604966622524,1.5392296296296297,-0.220716052217808,-0.0947851851851853,58,58.4,9.3,5
Cambuur Leeuwarden,27,62,48.743071895931834,44.6199,2.2962962962962963,1.8052989591085864,1.6525888888888889,0.4909973371877099,0.6437074074074074,78,64.8,20.7,2
De Graafschap,27,45,44.40773932096799,42.6302,1.6666666666666667,1.6447310859617774,1.5788962962962965,0.021935580704889324,0.08777037037037028,63,59.5,12.8,4
FC Den Bosch,27,37,37.692690090441765,35.598800000000004,1.3703703703703705,1.3960255589052506,1.3184740740740741,-0.025655188534880136,0.05189629629629633,51,47.8,-7.2,10
FC Dordrecht,27,40,37.78353474897938,41.2331,1.4814814814814814,1.399390175888125,1.5271518518518519,0.08209130559335631,-0.04567037037037047,47,54.9,4.6,11
FC Eindhoven,27,31,30.044258548184356,30.920900000000003,1.1481481481481481,1.1127503165994206,1.1452185185185186,0.035397831548727554,0.0029296296296295044,47,44.5,-15.8,12
FC Emmen,26,30,35.55246729618515,36.6602,1.1538461538461537,1.3674025883148135,1.4100076923076925,-0.2135564344686598,-0.2561615384615388,45,50.5,-4.4,15
FC Utrecht II,26,33,29.135061825495534,40.1224,1.2692307692307692,1.1205793009805975,1.5431692307692306,0.14865146825017161,-0.27393846153846146,46,55.4,6.3,13
Helmond Sport,27,32,36.50727564182688,35.3371,1.1851851851851851,1.3521213200676623,1.3087814814814815,-0.16693613488247716,-0.12359629629629643,39,47.8,-12.2,18
MVV,27,30,26.68342995659306,26.3112,1.1111111111111112,0.9882751835775208,0.9744888888888888,0.1228359275335904,0.1366222222222223,38,35.0,-32.1,19
PSV II,27,43,31.735775276940682,32.728300000000004,1.5925925925925926,1.1753990843311364,1.2121592592592594,0.4171935082614562,0.3804333333333332,56,45.0,-12.9,8
RKC Waalwijk,26,37,42.007128788757136,41.0694,1.4230769230769231,1.6156587995675822,1.5795923076923077,-0.19258187649065905,-0.1565153846153846,58,62.4,14.8,6
Roda JC,27,42,40.59609700213962,43.741299999999995,1.5555555555555556,1.5035591482273933,1.620048148148148,0.05199640732816224,-0.06449259259259232,55,59.2,9.2,9
TOP Oss,27,26,28.721001818018735,31.7202,0.9629629629629629,1.063740808074768,1.1748222222222222,-0.10077784511180499,-0.2118592592592593,44,44.7,-14.7,16
VVV Venlo,27,36,34.197862117532715,35.4699,1.3333333333333333,1.266587485834545,1.3137,0.06674584749878831,0.01963333333333317,45,51.6,-3.1,14
Vitesse,26,33,31.843021952336578,34.7263,1.2692307692307692,1.2247316135514068,1.335626923076923,0.04449915567936236,-0.06639615384615394,56,53.7,2.8,7
Willem II,27,40,41.22249419230448,39.956199999999995,1.4814814814814814,1.5267590441594252,1.479859259259259,-0.045277562677943806,0.0016222222222224136,68,63.1,16.8,3
