team,matches,openplay_for,openplay_against,openplay_xgd,setpiece_for,setpiece_against,setpiece_xgd,setpiece_wide_for,setpiece_wide_against,setpiece_wide_xgd,corner_for,corner_against,corner_xgd,indirectfk_for,indirectfk_against,indirectfk_xgd,directfk_for,directfk_against,directfk_xgd,throwin_for,throwin_against,throwin_xgd,penalty_for,penalty_against,penalty_xgd,total_xgd,div,season,openplay_for_p90,openplay_against_p90,openplay_xgd_p90,setpiece_for_p90,setpiece_against_p90,setpiece_xgd_p90,setpiece_wide_for_p90,setpiece_wide_against_p90,setpiece_wide_xgd_p90,corner_for_p90,corner_against_p90,corner_xgd_p90,indirectfk_for_p90,indirectfk_against_p90,indirectfk_xgd_p90,directfk_for_p90,directfk_against_p90,directfk_xgd_p90,throwin_for_p90,throwin_against_p90,throwin_xgd_p90,total_xgd_p90
AZ II,38,43.67147587053478,44.303299652412534,-0.6318237818777561,7.148824809119105,15.150100607424974,-8.001275798305869,7.243918797001243,16.27725888043642,-9.033340083435178,4.7348997462540865,10.855155821889639,-6.120256075635552,1.4738620296120644,3.566105417907238,-2.0922433882951736,0.9400630332529545,0.7288393676280975,0.21122366562485695,0.0950939878821373,1.127158273011446,-1.0320642851293087,1.58,6.32,-4.74,-14.405163865312929,KKD,2020-21,1.1492493650140732,1.1658763066424351,-0.016626941628362004,0.1881269686610291,0.3986868580901309,-0.2105598894291018,0.1906294420263485,0.4283489179062216,-0.2377194758798731,0.12460262490142333,0.2856619953128852,-0.1610593704114619,0.03878584288452801,0.09384487941861153,-0.05505903653408352,0.02473850087507775,0.019179983358634144,0.005558517516443604,0.0025024733653194026,0.029662059816090686,-0.02715958645077128,-0.37908325961349815
Ajax II,38,41.78670474886894,44.89854031801224,-3.1118355691432953,8.193926773965359,14.741686983034015,-6.547760209068656,8.452451042830944,15.349284773692489,-6.896833730861545,5.05209856107831,9.603309528902173,-4.551210967823863,2.1404997147619724,4.620835050940514,-2.480335336178541,1.0013284981250763,0.517542403191328,0.48378609493374825,0.2585242688655853,0.607597790658474,-0.34907352179288864,7.9,5.53,2.37,-7.6386693000048425,KKD,2020-21,1.0996501249702353,1.1815405346845325,-0.08189040971429724,0.2156296519464568,0.3879391311324741,-0.17230947918601727,0.22243292217976168,0.4039285466761181,-0.18149562449635645,0.13294996213363974,0.25271867181321506,-0.11976870967957534,0.05632893986215717,0.12160092239317141,-0.06527198253101424,0.0263507499506599,0.01361953692608758,0.012731213024572322,0.006803270233304877,0.015989415543644053,-0.009186145310339174,-0.20101761315802216
Almere City FC,38,42.74563147127628,33.20916711166501,9.536464359611273,17.253916785120964,12.547071903944016,4.7068448811769485,17.253916785120964,13.06364070251584,4.1902760826051235,9.612844683229923,9.86575099080801,-0.25290630757808685,6.746980462223291,1.7988168150186539,4.9481636472046375,0.8940916396677494,0.8825040981173515,0.011587541550397873,0.0,0.516568798571825,-0.516568798571825,3.95,2.37,1.58,15.306740442216395,KKD,2020-21,1.1248850387177969,0.873925450306974,0.25095958841082294,0.45405044171370956,0.3301861027353688,0.12386433897834075,0.45405044171370956,0.343780018487259,0.11027042322645061,0.25296959692710325,0.259625026073895,-0.006655429146791759,0.17755211742692872,0.04733728460575405,0.13021483282117466,0.023528727359677617,0.023223792055719776,0.00030493530395783876,0.0,0.013593915751890132,-0.013593915751890132,0.4028089590056946
Cambuur Leeuwarden,38,59.13484910875559,30.76454015634954,28.37030895240605,13.58630452491343,10.332419706508517,3.253884818404913,13.621510436758399,10.477632315829396,3.1438781209290028,10.358933417126536,6.025802640244365,4.333130776882172,2.456464122980833,3.9195929504930973,-1.4631288275122643,0.7709069848060608,0.3870241157710552,0.38388286903500557,0.035205911844968796,0.14521260932087898,-0.11000669747591019,10.27,0.79,9.48,40.99418707333506,KKD,2020-21,1.5561802397040945,0.8095931620091984,0.7465870776948961,0.357534329602985,0.2719057817502241,0.08562854785276086,0.3584608009673263,0.27572716620603677,0.08273363476128955,0.27260351097701413,0.15857375369064117,0.11402975728637293,0.06464379271002192,0.10314718290771309,-0.03850339019769117,0.02028702591594897,0.010184845151869874,0.010102180764079094,0.0009264713643412841,0.003821384455812605,-0.002894913091471321,1.0787943966667122
De Graafschap,38,42.77255734242499,27.777346428483725,14.995210913941264,14.262584069743752,8.33682220056653,5.925761869177222,16.683676222339272,8.761223558336496,7.922452664002776,8.772897878661752,5.251152295619249,3.5217455830425024,4.505890619009733,2.472685534507036,2.033205084502697,0.9837955720722675,0.6129843704402447,0.37081120163202286,2.42109215259552,0.4244013577699661,1.996690794825554,3.16,1.58,1.58,24.49766357794404,KKD,2020-21,1.125593614274342,0.7309828007495717,0.3946108135247701,0.37533115973009873,0.21939005790964553,0.1559411018204532,0.4390441111141914,0.23055851469306568,0.20848559642112569,0.23086573364899346,0.13818821830576972,0.09267751534322374,0.11857606892130877,0.06507067196071148,0.053505396960597286,0.025889357159796515,0.016131167643164333,0.00975818951663218,0.06371295138409264,0.01116845678342016,0.052544494600672474,0.6446753573143168
Excelsior,38,51.173173412680626,48.4346110727638,2.7385623399168253,9.686253564432263,8.59381689503789,1.092436669394374,9.686253564432263,8.627960074692965,1.0582934897392988,7.2327594961971045,6.5649963319301605,0.6677631642669439,1.6537967808544636,1.4238730110228062,0.2299237698316574,0.7996972873806953,0.6049475520849228,0.19474973529577255,0.0,0.03414317965507507,-0.03414317965507507,4.74,6.32,-1.58,2.2168558296561187,KKD,2020-21,1.3466624582284374,1.2745950282306264,0.0720674299978112,0.2549014095903227,0.2261530761852076,0.028748333405115102,0.2549014095903227,0.22705158091297276,0.027849828677349968,0.19033577621571326,0.17276306136658318,0.017572714849130103,0.04352096791722273,0.037470342395337,0.006050625521885722,0.02104466545738672,0.015919672423287443,0.005124993034099278,0.0,0.0008985047277651335,-0.0008985047277651335,0.058338311306739964
FC Den Bosch,38,34.986763847991824,54.69334803707898,-19.706584189087152,8.491239627823234,13.505211137235165,-5.013971509411931,8.491239627823234,13.682229541242123,-5.190989913418889,5.09540212713182,8.115252923220396,-3.0198507960885763,2.4953359365463257,4.195863205939531,-1.7005272693932056,0.9005015641450882,1.1940950080752373,-0.2935934439301491,0.0,0.177018404006958,-0.177018404006958,3.95,4.74,-0.79,-25.687574102506034,KKD,2020-21,0.9207043117892585,1.43929863255471,-0.5185943207654514,0.22345367441640088,0.35540029308513593,-0.13194661866873503,0.22345367441640088,0.3600586721379506,-0.13660499772154971,0.13408952966136367,0.21355928745316832,-0.07946975779180464,0.06566673517227173,0.1104174527878824,-0.044750717615610676,0.023697409582765477,0.03142355284408519,-0.007726143261319713,0.0,0.004658379052814685,-0.004658379052814685,-0.6759887921712114
FC Dordrecht,38,31.32045312039554,56.888057980686426,-25.567604860290885,8.329588467255235,14.042629919946194,-5.713041452690959,8.59634348936379,14.3438531011343,-5.747509611770511,4.377718852832913,10.338162794709206,-5.960443941876292,3.3545551523566246,2.1857101023197174,1.1688450500369072,0.5973144620656967,1.5187570229172707,-0.9214425608515739,0.26675502210855484,0.30122318118810654,-0.0344681590795517,2.37,7.11,-4.74,-36.05511447206138,KKD,2020-21,0.8242224505367247,1.4970541573864848,-0.6728317068497601,0.2191996965067167,0.369542892630163,-0.1503431961234463,0.22621956550957342,0.37746981845090266,-0.15125025294132924,0.1152031277061293,0.27205691565024226,-0.15685378794411295,0.0882777671672796,0.05751868690315046,0.030759080264129136,0.01571880163330781,0.03996729007677028,-0.024248488443462474,0.007019869002856706,0.007926925820739646,-0.0009070568178829394,-0.9488188018963521
FC Eindhoven,38,33.92541563883424,37.661638328805566,-3.736222689971328,12.735399439930916,14.11716783978045,-1.381768399849534,12.782188344746828,14.734153976663947,-1.951965631917119,7.293453197926283,8.840750174596906,-1.5472969766706228,4.7775562927126884,3.8754247575998306,0.9021315351128578,0.6643899492919445,1.4009929075837135,-0.736602958291769,0.04678890481591225,0.6169861368834972,-0.570197232067585,2.37,5.53,-3.16,-8.84818832188845,KKD,2020-21,0.8927740957587957,0.9910957454948833,-0.09832164973608758,0.3351420905244978,0.3715044168363276,-0.03636232631182984,0.33637337749333757,0.38774089412273544,-0.05136751662939787,0.19193297889279692,0.23265132038412908,-0.04071834149133218,0.12572516559770233,0.1019848620421008,0.02374030355560152,0.01748394603399854,0.036868234410097726,-0.019384288376099186,0.001231286968839796,0.016236477286407824,-0.015005190317568026,-0.23284706110232764
FC Utrecht II,38,46.42592986859381,53.443519216030836,-7.017589347437024,7.948701120913029,9.354855176061392,-1.4061540551483631,8.430154252797365,9.388662464916706,-0.9585082121193409,5.563499514013529,5.950028296560049,-0.38652878254652023,1.6746960952877998,2.4649970419704914,-0.7903009466826916,0.7105055116117001,0.9398298375308514,-0.2293243259191513,0.48145313188433647,0.033807288855314255,0.4476458430290222,3.16,4.74,-1.58,-9.556097559556363,KKD,2020-21,1.2217349965419424,1.4064084004218642,-0.18467340387992168,0.20917634528718496,0.24618039937003663,-0.03700405408285166,0.22184616454729908,0.2470700648662291,-0.025223900318930025,0.14640788194772444,0.15657969201473812,-0.01017181006701369,0.04407094987599473,0.06486834320974977,-0.020797393333755042,0.018697513463465792,0.02473236414554872,-0.006034850682082929,0.012669819260114118,0.0008896654961924804,0.011780153763921638,-0.2514762515672727
