name,pos,age,contract,val_tm,starts,started_matches,sub_apps,sub_on,unused_bench,min_2627,min_to_24aug,min_match4_derived,goals,assists,xG,NPxG,xA,np_shots,NPxG_per90
Marco Schikora,Defensive Midfield,31,30/06/2028,€300k,4,"1,2,3,4",0,,,375,281,94,0,1,0.13,0.13,0.3,3,0.03
Valon Zumberi,Centre-Back,23,30/06/2027,€350k,4,"1,2,3,4",0,,,375,281,94,0,0,0.23,0.23,0.0,4,0.056
Chiel Olde Keizer,Left-Back,23,30/06/2027,€75k,4,"1,2,3,4",0,,,361,267,94,0,0,1.26,1.26,0.77,8,0.315
Omar Achouitar,Centre-Back,21,30/06/2028,€300k,4,"1,2,3,4",0,,,360,266,94,0,1,0.06,0.06,0.73,2,0.015
Ricardo-Felipe Schwarz,Attacking Midfield,22,30/06/2027,€250k,4,"1,2,3,4",0,,,346,263,83,0,0,0.46,0.46,0.62,7,0.12
Naoufal Bannis,Centre-Forward,24,30/06/2027,€325k,4,"1,2,3,4",0,,,333,257,76,5,1,3.76,3.76,0.54,15,1.017
Ayman Sellouf,Left Winger,25,30/06/2027,€125k,4,"1,2,3,4",0,,,325,249,76,1,0,0.8,0.8,0.59,7,0.221
Solomon Bonnah,Right-Back,23,30/06/2027,€275k,2,"1,4",0,,"2,3",284,190,94,0,0,0.0,0.0,0.07,0,0.0
Filipe de Carvalho,Left Winger,22,30/06/2028,€250k,3,"2,3,4",1,m1@77',,210,146,64,1,2,1.27,1.27,1.25,4,0.546
Maximilian Brüll,Goalkeeper,24,30/06/2027,€125k,2,"2,3",1,m1@86',4,195,195,0,0,0,0.0,0.0,0.0,0,0.0
Nathan Markelo,Right-Back,27,30/06/2029,€250k,2,"2,3",0,,,184,184,0,0,1,0.1,0.1,0.76,1,0.05
Connor van den Berg,Goalkeeper,25,30/06/2029,€300k,2,"1,4",0,,,178,84,94,0,1,0.0,0.0,0.11,0,0.0
Mathijs Marschalk,Central Midfield,21,30/06/2028,€350k,2,"1,3",1,m4@64',2,174,143,31,0,0,0.1,0.1,0.1,2,0.052
Eduard Probst,Centre-Forward,25,30/06/2028,€200k,1,2,3,m1@66';m3@77';m4@76',,129,110,19,0,0,0.05,0.05,0.06,1,0.032
Pontus Dahbo,Attacking Midfield,20,30/06/2027,€2.00m,1,4,2,m2@63';m3@65',,123,59,64,0,0,0.09,0.09,0.56,2,0.067
João Pinto,Centre-Forward,22,30/06/2027,€275k,1,1,3,m2@87';m3@84';m4@76',,102,83,19,0,0,0.3,0.3,0.0,3,0.264
Nino Zonneveld,Right Winger,20,30/06/2028,€325k,0,,3,m2@63';m3@65';m4@64',1,90,59,31,0,0,0.08,0.08,0.52,2,0.083
Alexander Büttner,Left-Back,37,30/06/2028,€100k,0,,2,m1@77';m2@79',"3,4",34,34,0,0,0,0.79,0.0,0.03,0,0.0
Marcus Steffen,Centre-Back,23,30/06/2028,€300k,0,,3,m1@86';m3@84';m4@90+4',2,21,20,1,0,0,0.0,0.0,0.0,0,0.0
Xiamaro Thenu,Left-Back,21,30/06/2027,€175k,0,,1,m2@79',"1,3,4",15,15,0,0,0,0.0,0.0,0.0,0,0.0
Youssef Ouallil,Defensive Midfield,18,30/06/2029,€50k,0,,1,m4@83',"1,2,3",12,0,12,0,0,0.0,0.0,0.0,0,0.0
Koen te Veluwe,Central Midfield,20,30/06/2027,-,0,,0,,"1,2,3,4",0,0,0,0,0,0.0,0.0,0.0,0,
Teun Bosch,Central Midfield,20,30/06/2027,-,0,,0,,1,0,0,0,0,0,0.0,0.0,0.0,0,
Yuval Ranon,Attacking Midfield,20,30/06/2027,€150k,0,,0,,"1,4",0,0,0,0,0,0.0,0.0,0.0,0,
Luuk Wouters,Centre-Back,27,30/06/2028,€300k,0,,0,,,0,0,0,0,0,0.0,0.0,0.0,0,
Jayden Siecker,Goalkeeper,21,-,-,0,,0,,"2,3",0,0,0,0,0,0.0,0.0,0.0,0,
Tyrick Bodak,Goalkeeper,24,30/06/2027,€25k,0,,0,,"1,2,3,4",0,0,0,0,0,0.0,0.0,0.0,0,
